"LGTIN1TO4","LGTIN4TO8","LGTINMORE8","LGTINLED","LGTINCFL","LGTINCAN","LGTOUTANY","LGTOUTNITE","LGTOUTLED","LGTOUTCFL","LGTOUTCAN","ZLGTIN1TO4","ZLGTIN4TO8","ZLGTINCAN","ZLGTINCFL","ZLGTINLED","ZLGTINMORE8","ZLGTOUTANY","ZLGTOUTCAN","ZLGTOUTCFL","ZLGTOUTLED","ZLGTOUTNITE","DOEID","NWEIGHT"
2,2,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114697,29279.148327
5,4,0,0,1,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103404,19399.726571
0,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108367,13999.692607
2,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,108248,12773.754753
0,0,18,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,109109,8571.4019609
6,15,10,0,3,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101112,6921.4528911
5,0,0,0,3,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109778,5542.7516144
8,6,3,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114794,8362.6307371
9,2,0,0,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100436,5423.3038898
1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107260,7202.7347305
4,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108056,1101.2063579
4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112928,5175.3690872
0,4,0,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102044,12169.072788
3,1,0,0,4,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103673,11103.349499
10,10,0,0,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109568,4421.8012959
1,0,0,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107604,6648.4112461
