"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,2,AK,Alaska,112023,1155.8562549
WEST,Pacific,2,AK,Alaska,116253,1105.6269143
WEST,Pacific,2,AK,Alaska,100305,834.22646403
WEST,Pacific,15,HI,Hawaii,113003,1966.8290528
WEST,Pacific,15,HI,Hawaii,117294,1461.9158131
WEST,Pacific,15,HI,Hawaii,100165,1279.1851881
WEST,Pacific,15,HI,Hawaii,118475,938.71425175
WEST,Pacific,15,HI,Hawaii,100857,1427.9398792
WEST,Pacific,15,HI,Hawaii,111707,1637.3990579
WEST,Pacific,15,HI,Hawaii,106501,1450.8569799
WEST,Pacific,15,HI,Hawaii,101740,1475.8467901
WEST,Pacific,15,HI,Hawaii,117344,985.53232212
WEST,Pacific,15,HI,Hawaii,100211,1346.9068832
WEST,Pacific,15,HI,Hawaii,110174,2530.87763
WEST,Pacific,15,HI,Hawaii,113098,2785.7700818
WEST,Pacific,15,HI,Hawaii,102138,1406.9552503
WEST,Pacific,15,HI,Hawaii,107160,1326.402949
WEST,Pacific,15,HI,Hawaii,109207,1382.8626133
WEST,Pacific,15,HI,Hawaii,113000,1939.8625645
WEST,Pacific,15,HI,Hawaii,101809,1909.1976502
WEST,Pacific,15,HI,Hawaii,112064,1699.5728792
WEST,Pacific,15,HI,Hawaii,101925,1892.492951
WEST,Pacific,15,HI,Hawaii,116729,2159.8994588
WEST,Pacific,15,HI,Hawaii,108743,1339.4825577
WEST,Pacific,15,HI,Hawaii,104451,1665.9875221
WEST,Pacific,15,HI,Hawaii,112104,2395.4494757
WEST,Pacific,15,HI,Hawaii,113984,1588.3462475
WEST,Pacific,15,HI,Hawaii,118347,1127.5738512
WEST,Pacific,15,HI,Hawaii,115455,1761.834151
WEST,Pacific,15,HI,Hawaii,109856,1802.2631036
WEST,Pacific,15,HI,Hawaii,105096,1592.9713979
WEST,Pacific,15,HI,Hawaii,117604,2150.0692374
WEST,Pacific,15,HI,Hawaii,109276,1782.3227861
WEST,Pacific,15,HI,Hawaii,103542,1398.5586453
WEST,Pacific,15,HI,Hawaii,117053,1366.5676055
WEST,Pacific,15,HI,Hawaii,107050,1471.1625715
WEST,Pacific,15,HI,Hawaii,104062,1455.4301995
WEST,Pacific,15,HI,Hawaii,112461,2018.8502552
WEST,Pacific,15,HI,Hawaii,104187,3001.6986041
WEST,Pacific,15,HI,Hawaii,113403,1229.7576079
