"HDD65","CDD65","HDD30YR_PUB","CDD30YR_PUB","DOEID","NWEIGHT"
4431,1284,4369,1448,111576,3717.6807629
4227,1284,4638,1178,101824,4081.8774646
4180,1284,4730,1131,114609,5894.8512544
4070,1284,4649,1306,111683,5742.0547045
3430,1284,3902,1197,105521,8392.2322094
3823,1284,4161,1322,114143,4852.4171794
3516,1540,3898,1495,112063,1683.651062
828,1540,1540,876,110895,9078.8216543
3578,1540,4590,1169,103376,2804.5692916
3799,1540,4277,1461,105596,10798.390868
3794,1540,4403,1419,103510,8142.6900996
3565,1540,4337,1221,106300,3917.4773087
2840,1540,2575,1968,102014,4969.0745264
3168,1796,3297,2167,115896,6607.9985766
2663,1796,3165,1783,106967,8479.9112937
3139,1796,3580,1698,114493,9939.8229397
2390,1796,3047,1751,116704,7491.21092
2491,1796,2913,1777,103973,10057.510608
2357,2052,3244,1748,103199,6795.3711701
2182,2052,2912,1690,104833,4969.0745264
1789,2308,2385,2061,118229,6652.3358616
2018,2564,2345,2564,110940,8764.5212795
2104,2564,2409,2491,110236,8511.5063346
1479,2564,2033,2239,113334,6135.5655883
138,4612,265,3790,113224,10620.352709
151,4612,288,3934,113466,11490.639935
1206,4612,1190,3970,109899,5881.5801518
103,4868,187,4129,103211,11129.437094
112,4868,158,4209,117368,18387.033593
89,5124,148,4241,108709,16155.817382
10609,5,10318,0,100787,831.88976889
9671,5,9263,14,106596,5593.8569648
14658,5,16071,0,105956,1399.803105
4335,261,4475,158,101772,11689.126253
9419,517,8974,502,111250,712.45637379
7319,517,7601,413,106796,11297.943328
7433,517,7560,401,105155,11936.80836
9414,517,9080,485,113288,820.96252135
2061,517,2497,313,103293,7969.2871069
8792,517,9929,334,117709,894.63159924
9417,517,9065,488,108298,829.82009109
6395,517,6583,393,102878,7148.9690118
7355,517,7472,417,105467,10094.565947
9416,517,9308,448,103236,982.01098699
9414,517,9184,468,111103,842.87964689
7032,517,7626,377,100127,2190.3748339
9416,517,9099,482,101643,829.82009109
8775,517,8522,532,105444,1053.0318439
9416,517,9347,442,111178,1433.3882212
7277,517,7547,526,112530,2130.9562644
9417,517,9407,432,106483,1148.7683176
6025,773,6832,402,107285,7623.8654864
5451,773,5740,760,118450,2043.2042328
6209,773,7210,457,103074,4302.442995
5658,773,5697,834,102682,10955.157971
6262,773,6883,553,112295,11527.152814
6129,773,6731,468,100850,3778.4764996
6171,773,6696,474,113280,2457.6089452
6612,773,6767,717,102437,1827.1869072
6786,773,7522,474,111395,864.59043277
6190,773,6861,535,118245,8123.2872168
6612,773,6791,712,110924,1736.6662861
6254,773,6405,716,117191,8108.1522896
5673,773,6859,430,104425,3557.1465471
5008,1029,5790,728,115532,5084.2157064
6271,1029,6737,865,102382,3656.7985663
6958,1029,7454,811,103945,2847.4704037
5670,1029,6489,868,111240,3853.9934567
5121,1029,5581,852,110893,10508.731722
5019,1029,5581,905,116481,7938.8549142
4398,1029,5502,774,109340,8703.2880398
5071,1029,5330,982,116227,7049.6003932
4169,1285,4821,1144,106386,3979.2557175
889,1285,1047,1283,101527,18193.585674
5380,1285,5924,1068,116166,6909.1920908
4250,1285,4655,1032,107265,6556.8495023
3576,1541,4497,1199,113013,3423.5336522
4571,1541,5031,1398,100312,8055.8490834
3809,1541,4200,1468,110499,4166.273268
3777,1541,4903,1121,108873,5091.2726737
2798,1541,3439,1356,118135,6643.2182772
