"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
2,4,67,50,68,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107803,6372.8101253
1,2,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,111622,898.5900265
0,4,50,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,117893,4133.8746604
1,99,70,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,102934,2450.2144678
0,5,70,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,112087,7978.4894476
0,4,50,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,104029,10942.219264
0,4,50,50,50,-2,-2,-2,-2,1,0,-2,0,-2,0,-2,0,118268,13506.649397
1,2,68,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,105428,5567.9640515
0,2,65,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,118074,12679.306573
2,1,71,50,71,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,116390,926.66123097
2,2,72,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,105740,8523.4312392
2,4,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,101433,11859.082611
0,4,69,50,69,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107489,5519.4296537
1,1,60,50,55,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,104723,4360.2167044
1,2,50,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,103546,9960.2700781
1,1,60,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,110036,3979.7037828
1,4,80,50,80,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113716,8870.0051366
2,2,65,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113677,5804.2790812
0,5,80,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,101964,4865.2940637
2,4,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,108360,4135.719685
0,2,65,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,114484,12905.022829
0,4,65,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107907,13030.70717
0,4,65,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,1,107214,9360.9893527
0,2,74,50,55,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,112514,7802.6819965
0,4,55,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113800,5079.6278463
0,4,70,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,112769,17006.20365
1,4,68,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,112847,4965.2994194
1,4,60,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,101992,6637.889764
1,2,65,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,117083,12439.124132
0,2,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,107983,10706.276373
3,3,70,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106113,5653.4007433
0,4,70,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,102391,931.6750875
0,4,65,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,103242,7510.569788
1,4,50,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,100235,8508.8509918
1,4,60,50,64,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,103293,7969.2871069
0,4,50,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,114072,8594.9694574
1,1,70,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,104450,2730.1979011
0,5,60,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,100061,7916.6454231
0,1,65,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,103100,8007.8548701
3,3,70,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,109140,6757.4465073
1,2,68,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,109506,8848.2383821
1,2,65,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,115375,3958.8866177
0,4,70,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106309,3652.6915473
3,3,70,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,110909,923.36431953
1,2,60,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,116086,14464.103865
1,4,70,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,104672,8950.2123106
2,1,68,50,70,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,102045,9618.1597187
1,1,68,50,68,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,101546,7078.5320579
1,2,60,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113736,6709.755226
1,2,60,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,117981,4136.1134601
0,99,70,50,65,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,113742,5555.2935387
0,4,67,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,106088,15203.401548
2,4,65,50,59,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,105242,9043.0363054
0,1,63,50,60,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,111648,4546.3551879
0,99,65,50,50,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,0,102944,1128.0275242
