"DOEID","BA_climate","IECC_climate_code","UATYP10","NWEIGHT"
117579,Mixed-Humid,4A,C,4331.5705557
101289,Mixed-Humid,4A,C,2329.4742188
106980,Mixed-Humid,4A,C,7263.9233855
102843,Mixed-Humid,4A,C,4191.3333394
101023,Mixed-Humid,4A,C,8625.4763608
102170,Mixed-Humid,4A,C,5421.5048884
101727,Mixed-Humid,4A,C,2785.711308
111784,Mixed-Humid,4A,C,3807.64664
101551,Mixed-Humid,4A,C,9348.8831815
107008,Mixed-Humid,4A,C,3693.9051283
107000,Mixed-Humid,4A,C,3714.9213983
111333,Mixed-Humid,4A,C,7250.260381
102854,Mixed-Humid,4A,C,6492.3217285
101961,Mixed-Humid,4A,C,3638.2777563
113099,Mixed-Humid,4A,C,4637.7200546
113514,Mixed-Humid,4A,C,4054.89294
111200,Mixed-Humid,4A,C,8748.6230609
109989,Mixed-Humid,4A,C,1716.8816532
113249,Mixed-Humid,4A,C,4797.8776453
100457,Mixed-Humid,4A,C,7521.0220804
116871,Mixed-Humid,4A,C,4827.9042872
102514,Mixed-Humid,4A,C,4785.4163729
100471,Mixed-Humid,4A,C,3945.3576108
112710,Mixed-Humid,4A,C,6422.1081924
100917,Mixed-Humid,4A,C,5078.0389799
109921,Mixed-Humid,4A,C,6926.8631385
104254,Mixed-Humid,4A,C,4524.6656575
105716,Mixed-Humid,4A,C,4810.6060294
100541,Mixed-Humid,4A,C,4169.6000547
100500,Mixed-Humid,4A,C,9779.6634291
102157,Mixed-Humid,4A,C,6720.6781193
