NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Natural_Gas,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
2,12,0,1236,12,9368.61,0,0,1,0,0,1,0,0,0,0
3,-2,0,1223,-2,6374.81,0,1,0,0,0,1,0,0,0,0
1,3,1,1541,3,3605.81,1,0,0,0,0,1,0,0,0,0
1,1,0,1242,1,2263.81,0,0,1,0,0,1,0,0,0,0
1,1,0,1643,1,3880.66,1,0,0,0,0,1,0,0,0,0
5,20,0,1464,20,7363.18,1,0,0,0,0,1,0,0,0,1
1,2,1,846,2,3621.8,0,0,1,0,0,1,0,0,1,0
7,5,0,1223,3,3054.44,0,0,1,0,0,0,0,0,0,1
2,5,0,901,5,7930.58,0,0,1,0,0,1,0,0,0,0
4,10,0,1698,10,13801.66,1,0,0,0,0,1,0,0,0,1
3,-2,0,728,-2,2921.33,0,1,0,0,0,0,0,0,0,0
4,7,0,1485,7,12342.54,1,0,0,0,0,1,0,0,0,1
5,3,0,1743,3,10844.5,1,0,0,0,0,1,0,0,0,0
1,3,0,1298,3,1551.45,1,0,0,0,1,0,0,0,0,0
1,3,0,623,3,3674.07,0,0,1,0,0,1,0,0,0,0
1,1,0,172,2,2449.12,1,0,0,0,0,1,0,0,0,0
3,12,0,829,8,5139.1,0,0,1,0,0,1,0,0,0,1
3,-2,0,700,-2,3828.65,0,1,0,0,1,0,0,0,0,0
3,5,0,1192,5,10047.61,0,0,1,0,0,1,0,0,0,0
1,-2,1,322,-2,3321.19,0,1,0,0,1,0,0,0,0,0
5,10,0,1311,10,11210.4,0,0,1,0,0,1,0,0,0,1
3,2,0,1269,2,7581.87,0,0,1,0,1,0,0,0,0,0
4,3,1,1233,2,13725.89,0,0,1,0,0,1,0,0,1,0
2,2,0,192,2,11462.61,1,0,0,0,0,1,0,0,0,0
